brand,model,battery,year,height,width,weight,sim,numofsim,simtype,displaysize,displayresolution,os,chipset,cpu,gpu,memoryslot,maxextmemory,RAM,cam1MP,cam1video,cam2MP,cam2video,ir,radio,usb,nfc,fingerprint,price,basemark,loudspeaker,audioquality,endurance
Acer,Liquid Z4,1630,2014,124,64,122,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",no data,no data,4,480 x 800,Android 4.2.2 (Jelly Bean),Mediatek MT6572 (28 nm),Dual-core 1.3 GHz Cortex-A7,Mali-400,microSD (dedicated slot),no data,4,5,720,no data,no data,no data,,microUSB 2.0,No,No,100,no data,no data,no data,no data
Acer,Iconia B1-721,2955,2014,199,122.3,323,Yes,no data,no data,7,600 x 1024,Android 4.2 (Jelly Bean),Mediatek MT8312 (28 nm),Dual-core 1.3 GHz Cortex-A7,Mali-400,"microSD, up to 32 GB (dedicated slot)",no data,16,no data,no data,no data,no data,no data,,microUSB 2.0,No,No,130,no data,no data,no data,no data
Acer,Iconia B1-720,2955,2014,198.1,121.9,315,No,no data,no data,7,600 x 1024,Android 4.2 (Jelly Bean),Mediatek MT8111,Dual-core 1.3 GHz,PowerVR SGX531,"microSD, up to 32 GB (dedicated slot)",no data,Aug\16,no data,no data,no data,no data,no data,,microUSB 2.0,No,No,100,no data,no data,no data,no data
Acer,Iconia A1-830,4000,2014,203,138.4,380,No,no data,no data,7.9,768 x 1024,Android 4.2 (Jelly Bean),Intel Atom Z2560,Dual-core 1.6 GHz,PowerVR SGX544MP2,"microSD, up to 32 GB (dedicated slot)",no data,16,5,1080,2,no data,no data,,microUSB 2.0,No,No,130,no data,no data,no data,no data
Acer,Liquid Z5,2000,2014,145.5,73.5,150,Dual SIM,no data,no data,5,480 x 854,Android 4.2 (Jelly Bean),Mediatek MT6572 (28 nm),Dual-core 1.3 GHz Cortex-A7,Mali-400,"microSD, up to 32 GB (dedicated slot)",no data,4,5,no data,no data,no data,no data,,microUSB 2.0,No,No,170,no data,no data,no data,no data
Acer,Liquid S2,3300,2013,166,86.2,229,Nano-SIM,no data,no data,6,1080 x 1920,Android 4.2.2 (Jelly Bean),Qualcomm MSM8974 Snapdragon 800 (28 nm),Quad-core 2.2 GHz Krait 400,Adreno 330,"microSD, up to 64 GB (dedicated slot)",no data,16,13,2160,2,1080,no data,,microUSB 2.0,Yes,No,340,no data,no data,no data,no data
Acer,Liquid Z3,1500,2013,109,60,120,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",no data,no data,3.5,320 x 480,Android 4.2 (Jelly Bean),Mediatek MT6572 (28 nm),Dual-core 1.0 GHz Cortex-A7,Mali-400,"microSD, up to 32 GB (dedicated slot)",no data,4,no data,no data,no data,no data,no data,,microUSB 2.0,No,No,100,no data,no data,no data,no data
Acer,Liquid S1,2400,2013,163,83,195,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",no data,no data,5.7,720 x 1280,Android 4.2 (Jelly Bean); Float UI,Mediatek MT6589 (28 nm),Quad-core 1.5 GHz Cortex-A7,PowerVR SGX544,"microSD, up to 32 GB (dedicated slot)",no data,8,8,1080,2,no data,no data,,microUSB 2.0,No,No,320,no data,no data,no data,no data
Acer,Iconia Tab A3,7300,2013,260,175,560,Micro-SIM,no data,no data,10.1,800 x 1280,Android 4.2.2 (Jelly Bean),Mediatek MT8125T - Wi-Fi<br>Mediatek MT8389W - 3G,Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544,"microSD, up to 32 GB (dedicated slot)",no data,16/32,5,1080,no data,no data,no data,,"microUSB 2.0, USB Host",No,No,190,no data,no data,no data,no data
Acer,Iconia Tab A1-811,4960,2013,208.7,145.7,430,Yes,no data,no data,7.9,768 x 1024,Android 4.2 (Jelly Bean),Mediatek MT8389W,Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544,"microSD, up to 32 GB (dedicated slot)",no data,8,5,no data,no data,no data,no data,,microUSB 2.0,No,No,150,no data,no data,no data,no data
